year,tract,asthma,asthma_ci_low,asthma_ci_high,data_value_unit,totalpopulation,totalpop18plus
2022,17031804609,7.2,6.4,8.1,%,6147,4886
2022,17031820502,9.6,8.6,10.8,%,5380,4293
2022,17031804108,7.8,7.0,8.8,%,4798,3747
2022,17031823002,10.1,9.0,11.3,%,6006,4677
2022,17031711300,11.9,10.6,13.3,%,1462,1177
2022,17031611800,10.3,9.2,11.5,%,2205,1560
2022,17031813302,10.0,8.9,11.2,%,3858,2635
2022,17031804514,7.8,6.9,8.7,%,4690,3594
2022,17031611400,10.6,9.4,11.9,%,3737,2608
2022,17031760803,9.7,8.6,10.8,%,6394,5097
2022,17031823400,10.2,9.1,11.4,%,4892,3702
2022,17031820901,9.4,8.3,10.4,%,5582,4340
2022,17031812500,9.6,8.6,10.8,%,3680,2854
2022,17031821900,9.7,8.6,10.8,%,5129,3892
2022,17031802003,8.1,7.2,9.1,%,2679,2031
2022,17031811301,9.0,8.1,10.1,%,4802,3703
2022,17031805108,8.4,7.5,9.4,%,6400,5009
2022,17031806300,9.0,8.1,10.1,%,4687,3765
2022,17031630600,9.5,8.4,10.6,%,3250,2347
2022,17031817600,11.1,9.9,12.4,%,3825,2948
2022,17031806103,8.4,7.5,9.5,%,5269,4271
2022,17031770800,9.4,8.4,10.5,%,5661,4457
2022,17031819400,9.4,8.4,10.5,%,5686,4345
2022,17031814900,9.6,8.6,10.8,%,6557,4899
2022,17031802505,8.7,7.8,9.8,%,6723,5233
2022,17031804105,8.1,7.2,9.1,%,4168,3219
2022,17031804901,8.7,7.8,9.8,%,6927,5258
2022,17031711500,12.4,11.1,13.8,%,2372,1872
2022,17031804807,9.0,8.0,10.1,%,5224,4030
2022,17031620200,8.8,7.8,9.8,%,2390,1816
2022,17031630400,9.2,8.2,10.3,%,7204,5139
2022,17031800400,8.2,7.3,9.2,%,3936,2763
2022,17031640300,9.4,8.4,10.5,%,6710,5118
2022,17031804712,8.3,7.4,9.3,%,5456,4142
2022,17031820800,9.5,8.5,10.7,%,3695,2808
2022,17031804716,7.6,6.8,8.5,%,5360,4150
2022,17031700301,9.6,8.6,10.8,%,5762,4197
2022,17031811401,9.6,8.5,10.7,%,5001,3891
2022,17031805002,8.8,7.9,9.9,%,7422,5838
2022,17031805701,9.1,8.1,10.2,%,5485,4092
2022,17031801607,7.5,6.7,8.4,%,5225,4181
2022,17031813500,8.9,7.9,10.0,%,7169,5317
2022,17031803607,8.9,8.0,10.0,%,4819,3944
2022,17031804306,8.9,7.9,10.0,%,5626,4218
2022,17031814600,9.3,8.2,10.3,%,5616,4247
2022,17031822102,9.3,8.3,10.4,%,4504,3726
2022,17031816401,9.2,8.2,10.3,%,4664,3358
2022,17031801701,7.6,6.8,8.6,%,3846,2758
2022,17031801606,7.7,6.9,8.6,%,6716,5318
2022,17031823302,10.3,9.2,11.5,%,5739,4555
2022,17031805201,7.9,7.0,8.8,%,3475,2921
2022,17031805109,8.9,8.0,10.0,%,4396,3555
2022,17031671600,12.4,11.0,13.9,%,1804,1384
2022,17031805502,8.4,7.5,9.4,%,4295,3263
2022,17031823500,9.8,8.7,11.0,%,4301,3288
2022,17031805902,8.5,7.6,9.5,%,6503,5141
2022,17031806005,7.7,6.8,8.6,%,3258,2495
2022,17031820103,9.1,8.1,10.2,%,4285,3279
2022,17031817900,10.8,9.6,12.1,%,5532,4554
2022,17031814000,9.1,8.1,10.2,%,4706,3552
2022,17031670300,12.2,10.9,13.6,%,1287,920
2022,17031661000,11.7,10.4,13.1,%,5756,4328
2022,17031812900,8.8,7.8,9.9,%,4846,3556
2022,17031801400,8.0,7.1,9.0,%,2922,2196
2022,17031804109,8.3,7.4,9.3,%,3078,2484
2022,17031822400,10.4,9.3,11.6,%,6362,4806
2022,17031822701,9.1,8.1,10.2,%,4438,3657
2022,17031822900,9.7,8.6,10.9,%,2078,1612
2022,17031803901,8.9,8.0,10.0,%,3935,3421
2022,17031808200,8.8,7.9,9.9,%,5646,4473
2022,17031802610,7.8,6.9,8.7,%,1757,1442
2022,17031815600,9.3,8.3,10.5,%,5608,4322
2022,17031700100,10.8,9.6,12.1,%,3326,2526
2022,17031803605,9.3,8.2,10.3,%,7002,5559
2022,17031808001,7.4,6.5,8.3,%,3981,3191
2022,17031821102,9.4,8.4,10.5,%,4231,3209
2022,17031803616,8.8,7.9,9.9,%,4635,3887
2022,17031691100,12.3,10.9,13.7,%,2980,2225
2022,17031821800,9.7,8.6,10.8,%,5415,4126
2022,17031710100,12.3,11.0,13.7,%,1015,772
2022,17031640700,9.0,8.0,10.1,%,3298,2475
2022,17031809600,9.5,8.5,10.6,%,3319,2406
2022,17031750500,11.1,9.9,12.4,%,5618,4517
2022,17031821402,11.5,10.3,12.9,%,3200,2546
2022,17031650301,9.1,8.1,10.3,%,5829,4195
2022,17031811702,9.7,8.6,10.8,%,5384,4105
2022,17031816100,9.6,8.5,10.7,%,6259,5246
2022,17031807000,9.0,8.0,10.1,%,5866,4601
2022,17031730500,11.3,10.1,12.7,%,4220,3346
2022,17031806700,8.4,7.5,9.4,%,4486,3397
2022,17031820000,8.0,7.1,8.9,%,2230,1502
2022,17031806202,8.9,7.9,10.0,%,4998,4358
2022,17031807300,7.9,7.0,8.8,%,7718,6243
2022,17031813000,8.9,7.9,10.0,%,3935,2874
2022,17031710400,12.0,10.7,13.4,%,5424,4191
2022,17031807700,8.7,7.8,9.8,%,6147,4850
2022,17031711200,11.6,10.4,13.0,%,4687,3930
2022,17031690300,11.3,10.1,12.6,%,2302,1756
2022,17031807600,8.2,7.3,9.2,%,6705,5302
2022,17031804314,8.1,7.2,9.1,%,1682,1448
2022,17031740100,9.6,8.6,10.8,%,3234,2435
2022,17031819200,10.2,9.1,11.4,%,6154,4790
2022,17031730100,11.4,10.1,12.7,%,2462,1973
2022,17031804506,8.2,7.3,9.2,%,5472,4359
2022,17031681100,12.8,11.4,14.3,%,2873,2102
